Date,Value,Metric,Company
2015-01-14,63.32265672539548,BND,Open
2015-01-14,167.7367648084479,SPY,Open
2015-01-14,12.388667106628418,TSLA,Open
2015-01-14,2481200.0,BND,Volume
2015-01-14,192991100.0,SPY,Volume
2015-01-14,173278500.0,TSLA,Volume
2015-01-15,63.54978561401367,BND,Close
2015-01-15,167.2074737548828,SPY,Close
2015-01-15,12.791333198547363,TSLA,Close
2015-01-15,63.56492478893515,BND,High
2015-01-15,169.7195263270312,SPY,High
2015-01-15,13.050000190734863,TSLA,High
2015-01-15,63.25452260614022,BND,Low
2015-01-15,167.08985269283977,SPY,Low
2015-01-15,12.666666984558105,TSLA,Low
2015-01-15,63.25452260614022,BND,Open
2015-01-15,169.40027648419104,SPY,Open
2015-01-15,12.965999603271484,TSLA,Open
2015-01-15,4214500.0,BND,Volume
2015-01-15,176613900.0,SPY,Volume
2015-01-15,78247500.0,TSLA,Volume
2015-01-16,63.36050033569336,BND,Close
2015-01-16,169.40028381347656,SPY,Close
2015-01-16,12.871333122253418,TSLA,Close
2015-01-16,63.481631036957666,BND,High
2015-01-16,169.5599151516704,SPY,High
2015-01-16,12.965999603271484,TSLA,High
2015-01-16,63.27722045152815,BND,Low
2015-01-16,166.8126075168364,SPY,Low
2015-01-16,12.643333435058594,TSLA,Low
2015-01-16,63.4513469176153,BND,Open
2015-01-16,166.99744245372034,SPY,Open
2015-01-16,12.713333129882812,TSLA,Open
2015-01-16,3631300.0,BND,Volume
2015-01-16,211879600.0,SPY,Volume
2015-01-16,54048000.0,TSLA,Volume
2015-01-20,63.292335510253906,BND,Close
2015-01-20,169.7615509033203,SPY,Close
2015-01-20,12.795332908630371,TSLA,Close
2015-01-20,63.46646768610594,BND,High
2015-01-20,170.31605573671303,SPY,High
2015-01-20,12.941332817077637,TSLA,High
2015-01-20,63.26962387342602,BND,Low
2015-01-20,168.17366002204875,SPY,Low
2015-01-20,12.469332695007324,TSLA,Low
2015-01-20,63.3680428917145,BND,Open
2015-01-20,170.04720024667947,SPY,Open
2015-01-20,12.924667358398438,TSLA,Open
2015-01-20,3029500.0,BND,Volume
2015-01-20,130991100.0,SPY,Volume
2015-01-20,67548000.0,TSLA,Volume
2015-01-21,63.17124557495117,BND,Close
2015-01-21,170.61854553222656,SPY,Close
2015-01-21,13.104666709899902,TSLA,Close
2015-01-21,63.44379694477671,BND,High
2015-01-21,171.10583658958484,SPY,High
2015-01-21,13.245332717895508,TSLA,High
2015-01-21,63.16367309909305,BND,Low
2015-01-21,168.82061575081252,SPY,Low
2015-01-21,12.633999824523926,TSLA,Low
2015-01-21,63.43622446891859,BND,Open
2015-01-21,169.29110013178249,SPY,Open
2015-01-21,12.636667251586914,TSLA,Open
2015-01-21,2473900.0,BND,Volume
2015-01-21,122942700.0,SPY,Volume
2015-01-21,62295000.0,TSLA,Volume
2015-01-22,63.18637466430664,BND,Close
2015-01-22,173.1558074951172,SPY,Close
2015-01-22,13.441332817077637,TSLA,Close
2015-01-22,63.31507785281678,BND,High
2015-01-22,173.29022244099968,SPY,High
2015-01-22,13.549332618713379,TSLA,High
2015-01-22,63.11823972077978,BND,Low
2015-01-22,169.98842217378856,SPY,Low
2015-01-22,13.013333320617676,TSLA,Low
2015-01-22,63.31507785281678,BND,Open
2015-01-22,171.38308139768512,SPY,Open
2015-01-22,13.133333206176758,TSLA,Open
2015-01-22,2157400.0,BND,Volume
2015-01-22,174356000.0,SPY,Volume
2015-01-22,61753500.0,TSLA,Volume
2015-01-23,63.3907585144043,BND,Close
2015-01-23,172.20645141601562,SPY,Close
2015-01-23,13.419333457946777,TSLA,Close
2015-01-23,63.42103684525107,BND,High
2015-01-23,173.1558300069948,SPY,High
2015-01-23,13.566666603088379,TSLA,High
2015-01-23,63.2999061935556,BND,Low
2015-01-23,172.07202363291893,SPY,Low
2015-01-23,13.222000122070312,TSLA,Low
2015-01-23,63.32261782974208,BND,Open
2015-01-23,172.89537136984285,SPY,Open
2015-01-23,13.352666854858398,TSLA,Open
2015-01-23,6255000.0,BND,Volume
2015-01-23,117516800.0,SPY,Volume
2015-01-23,51579000.0,TSLA,Volume
2015-01-26,63.31510543823242,BND,Close
2015-01-26,172.609619140625,SPY,Close
2015-01-26,13.770000457763672,TSLA,Close
2015-01-26,63.405957845290324,BND,High
2015-01-26,172.70203658399348,SPY,High
2015-01-26,13.907999992370605,TSLA,High
2015-01-26,63.277254600706165,BND,Low
2015-01-26,171.2653805694932,SPY,Low
2015-01-26,13.403332710266113,TSLA,Low
2015-01-26,63.39081866550148,BND,Open
2015-01-26,171.98791344862917,SPY,Open
2015-01-26,13.45533275604248,TSLA,Open
2015-01-26,7810500.0,BND,Volume
2015-01-26,92009700.0,SPY,Volume
2015-01-26,48517500.0,TSLA,Volume
2015-01-27,63.352909088134766,BND,Close
2015-01-27,170.3328857421875,SPY,Close
2015-01-27,13.732000350952148,TSLA,Close
2015-01-27,63.511896335489794,BND,High
2015-01-27,171.49228994750163,SPY,High
2015-01-27,13.868666648864746,TSLA,High
2015-01-27,63.31505250614876,BND,Low
2015-01-27,169.49273145035025,SPY,Low
2015-01-27,13.553333282470703,TSLA,Low
2015-01-27,63.489184696739564,BND,Open
2015-01-27,170.52611763978365,SPY,Open
2015-01-27,13.628000259399414,TSLA,Open
2015-01-27,1154100.0,BND,Volume
2015-01-27,134044600.0,SPY,Volume
2015-01-27,41715000.0,TSLA,Volume
2015-01-28,63.58003234863281,BND,Close
2015-01-28,168.14842224121094,SPY,Close
2015-01-28,13.291333198547363,TSLA,Close
2015-01-28,63.66330642588722,BND,High
2015-01-28,171.635056238076,SPY,High
2015-01-28,13.758000373840332,TSLA,High
2015-01-28,63.30748115148178,BND,Low
2015-01-28,167.95519040936395,SPY,Low
2015-01-28,13.227999687194824,TSLA,Low
2015-01-28,63.32262031749994,BND,Open
2015-01-28,171.53424185967458,SPY,Open
2015-01-28,13.740667343139648,TSLA,Open
2015-01-28,1394600.0,BND,Volume
2015-01-28,168514300.0,SPY,Volume
2015-01-28,47244000.0,TSLA,Volume
2015-01-29,63.511932373046875,BND,Close
2015-01-29,169.7027130126953,SPY,Close
2015-01-29,13.680000305175781,TSLA,Close
2015-01-29,63.57250062815038,BND,High
2015-01-29,169.96315870451173,SPY,High
2015-01-29,13.732000350952148,TSLA,High
2015-01-29,63.413513290583715,BND,Low
2015-01-29,166.92179247236854,SPY,Low
2015-01-29,13.100000381469727,TSLA,Low
2015-01-29,63.54978897651325,BND,Open
2015-01-29,168.35006454446204,SPY,Open
2015-01-29,13.404666900634766,TSLA,Open
